company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status
S2022-160,0000065984,ETR,Entergy,0000065984-23-000014,2022,2023-02-24,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-161,0000033185,EFX,Equifax,0000033185-23-000012,2022,2023-02-23,1.0.3,0.3.0,2.790390625,2.665,0.7789730843630667,1.5,4.93,128,161,33,0.7950310559006211,76,31,warning_stem_collisions
S2022-162,0001101239,EQIX,Equinix,0001628280-23-004039,2022,2023-02-17,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-163,0000906107,EQR,Equity Residential,0000950170-23-003060,2022,2023-02-16,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-164,0000920522,ESS,Essex Property Trust,0000920522-23-000005,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-165,0001001250,EL,Estée Lauder Companies (The),0001001250-22-000122,2022,2022-08-24,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-166,0001370637,ETSY,Etsy,0001370637-23-000017,2022,2023-02-23,1.0.3,0.3.0,3.0064516129032257,2.89,0.8957896080287141,1.5,4.93,124,148,24,0.8378378378378378,80,17,warning_stem_collisions
S2022-167,0001711269,EVRG,Evergy,0001711269-23-000011,2022,2023-02-24,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-168,0000072741,ES,Eversource Energy,0000072741-23-000004,2022,2023-02-15,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-169,0001109357,EXC,Exelon,0001109357-23-000018,2022,2023-02-14,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-170,0001324424,EXPE,Expedia Group,0001324424-23-000007,2022,2023-02-10,1.0.3,0.3.0,2.992,2.93,0.6712793755211015,2.2,4.48,20,27,7,0.7407407407407407,15,6,warning_stem_collisions
S2022-171,0000746515,EXPD,Expeditors International,0000950170-23-005412,2022,2023-03-01,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-172,0001289490,EXR,Extra Space Storage,0001628280-23-005628,2022,2023-02-28,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-173,0000034088,XOM,ExxonMobil,0000034088-23-000020,2022,2023-02-22,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
