report_year,original_ticker,original_company_name,original_exclusion_reason,matched_panel_company_id,matched_panel_cik,matched_panel_ticker_history,matched_panel_company_name_history,candidate_cik_count,identity_match_method,identity_match_status,sec_lookup_status,eligible_filing_count,selected_accession_number,selected_filing_date,selected_report_date,selected_primary_document,recovery_status,recovery_reason,requires_manual_review
2022,SNA,Snap-on,ambiguous_multiple_eligible_2022_report_date_10k,cik:0000091440,0000091440,SNA,Snap-on,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2022,SWK,Stanley Black & Decker,ambiguous_multiple_eligible_2022_report_date_10k,cik:0000093556,0000093556,SWK,Stanley Black & Decker,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2022,TXT,Textron,ambiguous_multiple_eligible_2022_report_date_10k,cik:0000217346,0000217346,TXT,Textron,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2022,WBA,Walgreens Boots Alliance,cik_missing_in_2022_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,ANSS,Ansys,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,BLK,BlackRock,no_unique_eligible_2023_report_date_10k,cik:0002012383,0002012383,BLK,BlackRock,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2023,CTLT,Catalent,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,CDAY,Ceridian,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,CMA,Comerica,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,CTRA,Coterra Energy,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,DFS,Discover Financial,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,DPZ,Domino's,ambiguous_multiple_eligible_2023_report_date_10k,cik:0001286681,0001286681,DPZ,Domino's,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2023,FLT,FLEETCOR Technologies,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,HES,Hess Corporation,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,HOLX,Hologic,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,ILMN,"Illumina, Inc.",ambiguous_multiple_eligible_2023_report_date_10k,cik:0001110803,0001110803,ILMN,"Illumina, Inc.",1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2023,IPG,Interpublic Group,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,JNJ,Johnson & Johnson,ambiguous_multiple_eligible_2023_report_date_10k,cik:0000200406,0000200406,JNJ,Johnson & Johnson,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,1
2023,JNPR,Juniper Networks,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2023,K,Kellanova,cik_missing_in_2023_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
